,index,C,Mn,Si,Cr,Ni,Mo,V,Co,Al,W,Cu,Nb,Ti,B,N,P,S,Ms (K),Payson_Savage,Andrews_2,Capdevila,pre_1,index_clean,pre_3,predicted_3
267,298,0.16,0.0,0.0,0.0,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.4,543.0219999999999,537.7332,538.496,607.2608891498782,0,607.2608891498782,608.7347270482531
268,299,0.25,0.28,0.34,1.6,3.51,0.46,0.13,0.069,0.0,0.017,0.0,0.02,0.0,0.0,0.009,0.0,0.0,559.0,571.3853,613.7285,604.3678200000003,584.3156943733065,0,584.3156943733065,530.6169272267153
269,300,0.3,1.91,0.34,0.0,0.0,0.67,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016,0.009,621.0,602.226,621.4454999999999,611.652,621.7623326573961,0,621.7623326573961,619.3871070908158
270,301,0.47,1.04,0.35,1.2,0.05,0.05,0.12,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.032,0.012,564.6666666666666,549.934,563.7796999999999,571.8810000000001,564.6574802289346,0,564.6574802289346,564.6783599039571
271,302,0.38,0.84,0.34,0.73,1.46,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.022,0.022,591.0,569.9540000000001,584.48576,588.9970000000002,590.3403524823981,0,590.3403524823981,591.3804526994602
273,305,0.48,1.98,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.011,563.0,550.9920000000001,549.7532000000001,554.3040000000001,558.6959185278365,0,558.6959185278365,558.0537340935923
274,306,0.31,0.55,0.25,1.05,3.0,0.28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,587.0,570.3849999999998,593.7691500000001,591.466,612.5791152995897,0,612.5791152995897,606.9627607267574
275,307,0.004,0.03,0.075,0.0,22.44612929,0.0,0.0,0.0,0.239425379,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,447.0388889,394.101340857,403.993306999,388.378353786,438.6781565593338,0,438.6781565593338,442.32726272200574
276,308,0.15,0.77,0.2,1.27,4.25,0.45,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,630.0,585.4079999999999,643.8964500000001,611.5750000000002,653.9165013669663,0,653.9165013669663,639.90264659637
277,309,0.15,0.8,0.2,0.63,0.85,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,701.0,663.4209999999999,701.7243,671.8330000000001,693.5819825361694,0,693.5819825361694,700.4998944867554
278,310,0.12,0.5,0.2,0.9,3.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,672.0,635.881,680.8990000000001,647.7280000000001,683.981813881735,0,683.981813881735,687.5112034787485
279,311,0.36,1.59,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,593.0,602.205,609.2665999999999,602.84,611.1277409234839,0,611.1277409234839,613.2097753534083
280,312,0.52,0.7,0.29,1.09,1.72,0.43,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,538.0,517.038,527.1221199999999,544.0020000000001,536.0326918072448,0,536.0326918072448,536.2824528656225
281,313,0.16,0.8,0.2,0.85,1.15,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,690.0,649.1279999999999,692.7196,661.8689999999999,688.9595783773602,0,688.9595783773602,691.8028377942588
282,314,0.004,0.03,1.903080243,0.0,22.07180695,0.0,0.89,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002,0.0,0.0,427.5944444,380.06083323769997,410.319354545,368.08494110649997,386.3847599886004,0,386.3847599886004,399.6828208885062
283,315,0.06,2.0,0.37,0.0,0.0,0.0,0.0,0.0,0.029,0.0,0.0,0.0,0.0,0.0,0.009,0.006,0.005,721.0,682.341,750.1712,679.479,711.229338975257,0,711.229338975257,717.9688054900175
284,317,0.07,1.9,0.24,0.0,0.0,0.08,0.43,0.0,0.06,0.0,0.0,0.0,0.0,0.0,0.009,0.0,0.0,638.0,683.059,744.2338,681.59,641.0083344506631,0,641.0083344506631,639.5713750280365
285,318,0.13,0.56,0.26,0.07,0.05,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,723.0,706.5639999999999,724.3119399999999,700.243,724.8274016801946,0,724.8274016801946,724.3797207549813
286,319,0.056,0.0,0.0,0.0,10.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,628.3,575.9588,579.970512,569.9664,637.5978589482158,0,637.5978589482158,635.1331191488417
