图号,钢号,C,Si,Mn,S,P,Nb,V,Ti,Al,N,Ni,W,Cu,Cr,B,Co,Mo,O,Sn,Re,Ms/°C,Ms (K)
95,15CrNiMnMoVCu,0.14,0.22,0.8,0.011,0.016,0,0.055,0,0,0,0.93,0,0.446,0.657,0,0,0.489,0,0,0,384,657.15
96,15CrMnMoNbVB,0.14,0.32,1.34,0.016,0.025,0.061,0.118,0,0,0,0,0,0,0.995,0.002,0,0.47,0,0,0,455,728.15
97,15CrNiMnMoVCuB,0.15,0.31,0.98,0.005,0.018,0,0.08,0,0,0,1.05,0,0.35,0.62,0.0018,0,0.51,0,0,0,410,683.15
98,15CrNiMnMoVTiCuB,0.14,0.34,1.09,0.008,0.01,0,0.07,0.023,0,0,0.4,0,0.36,1.07,0.0027,0,0.45,0,0,0,485,758.15
99,16Mn,0.16,0.42,1.47,0.011,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,360,633.15
100,18MnMoNb,0.21,0.3,1.45,0.021,0.013,0.038,0,0,0,0,0,0,0,0,0,0,0.51,0,0,0,380,653.15
101,20MnTiB,0.2,0.32,1.63,0.005,0.014,0,0,0.085,0,0,0.12,0,0.15,0,0.0027,0,0,0,0,0,410,683.15
102,20Mn,0.18,0.31,1.18,0.017,0.015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435,708.15
103,30MoVNb,0.34,0.31,0.74,0.021,0.013,0.052,0.11,0,0,0,0,0,0,0,0,0,0.73,0,0,0,310,583.15
104,30CrNi2MoVA,0.28,0.29,0.946,0,0,0,0.216,0,0.05,0,2.19,0,0.041,0,0,0,0.275,0,0,0,285,558.15
105,30CrMnMoRe,0.28,0.44,1.37,0,0.009,0,0,0,0,0,0,0,0,1.04,0,0,0.66,0,0,0.16,305,578.15
106,30Si2MnMoV,0.27,1.65,1.48,0.015,0.025,0,0.15,0,0,0,0,0,0,0,0,0,0.42,0,0,0,360,633.15
107,31Si2CrMoB,0.295,1.8,0.58,0.017,0.022,0,0,0,0,0,0,0,0,0.69,0.0017,0,0.14,0,0,0,380,653.15
108,32SiMnMoV,0.33,1.63,1.73,0.005,0.015,0,0.272,0,0,0,0.06,0,0.058,0.07,0,0,0.42,0,0,0,300,573.15
109,35SiMnMoV,0.34,1.54,1.74,0.005,0.02,0,0.276,0,0,0,0,0,0,0,0,0,0.386,0,0,0,300,573.15
