图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-1,8,0.06,0,0.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,480,753.15
 IV-1-2,30,0.3,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-3,35,0.35,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-4,35,0.36,0.27,0.66,0.21,0.2,0.02,0,0,0,0,0.22,0,0,0,0,0,0,360,633.15
 IV-1-5,35,0.36,0.27,0.66,0.21,0.2,0.02,0,0,0,0,0.22,0,0,0,0,0,0,360,633.15
 IV-1-6,45,0.44,0.22,0.66,0.15,0,0,0,0.02,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-7,45,0.44,0.22,0.66,0.15,0,0,0,0.02,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-8,45,0.45,0.27,0.52,0.05,0.12,0.01,0,0,0,0,0.19,0,0,0,0,0,0,345,618.15
 IV-1-9,50,0.5,0.53,0.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-10,50,0.53,0.23,0.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-11,55,0.54,0,0.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-12,55,0.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-13,60,0.59,0.25,0.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,507.7,780.85
 IV-1-14,65,0.64,0.22,0.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,285,558.15
 IV-1-15,65,0.64,0.22,0.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-16,15Mn,0.17,0,0.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,450,723.15
 IV-1-17,30Mn,0.33,0.3,1.12,0.11,0.24,0.04,0,0,0,0,0.19,0,0,0,0,0,0,355,628.15
 IV-1-18,30Mn,0.33,0.3,1.12,0.11,0.24,0.04,0,0,0,0,0.19,0,0,0,0,0,0,355,628.15
 IV-1-19,30Mn,0.28,0.3,1.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,375,648.15
 IV-1-20,50Mn,0.5,0,0.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-21,60Mn,0.63,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-22,65Mn,0.63,0,0.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-23,65Mn,0.64,0.1,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-24,20Mn2,0.2,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,390,663.15
 IV-1-25,30Mn2,0.29,0.26,1.67,0.12,0.21,0.04,0,0,0,0,0.11,0,0,0,0,0,0,380,653.15
 IV-1-26,30Mn2,0.33,0.23,1.54,0.15,0.18,0.05,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-27,30Mn2,0.35,0,1.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,325,598.15
 IV-1-28,40Mn2,0.4,0.4,2.06,0.11,0.05,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-29,45Mn2,0.43,0,1.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-30,45Mn2,0.48,0.28,1.98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-31,45Mn2,0.47,0.36,1.37,0.15,0,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-32,45Mn2,0.48,0.28,1.98,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,290,563.15
 IV-1-33,20Cr,0.2,0.3,0.72,0.79,0.27,0.02,0,0,0,0,0.17,0,0,0,0,0,0,390,663.15
 IV-1-34,30Cr,0.32,0.3,0.75,1.08,0.26,0.02,0,0,0,0,0.17,0,0,0,0,0,0,350,623.15
 IV-1-35,30Cr,0.3,0.25,0.5,1.28,0.09,0,0,0.05,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-36,35Cr,0.35,0.23,0.65,1.11,0.23,0.05,0,0,0,0,0.18,0,0,0,0,0,0,360,633.15
 IV-1-37,35Cr,0.35,0.23,0.65,1.11,0.23,0.05,0,0,0,0,0.18,0,0,0,0,0,0,360,633.15
 IV-1-38,35Cr,0.36,0.25,0.49,1.54,0.21,0.03,0,0,0,0,0.16,0,0,0,0,0,0,340,613.15
 IV-1-39,35Cr,0.36,0.25,0.49,1.54,0.21,0.03,0,0,0,0,0.16,0,0,0,0,0,0,340,613.15
 IV-1-40,40Cr,0.38,0.26,0.74,0.9,0.26,0.04,0,0,0,0,0.17,0,0,0,0,0,0,325,598.15
 IV-1-41,40Cr,0.42,0.16,0.68,0.93,0.07,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-42,45Cr,0.44,0.22,0.8,1.04,0.26,0.04,0,0,0,0,0.17,0,0,0,0,0,0,355,628.15
 IV-1-43,45Cr,0.44,0.22,0.8,1.04,0.26,0.04,0,0,0,0,0.17,0,0,0,0,0,0,355,628.15
 IV-1-44,45Cr,0.44,0,0.74,1.04,0,0,0,0,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-45,50Cr,0.48,0.28,0.86,0.98,0.48,0.04,0,0,0,0,0,0,0,0,0,0,0,292.8,565.95
 IV-1-46,50Cr,0.59,0.34,0.66,0.65,0.47,0.02,0,0,0,0,0,0,0,0,0,0,0,280,553.15
 IV-1-47,45Cr3,0.43,0.14,0.04,3.52,0,0,0,0,0,0,0,0.14,0,0,0,0,0,330,603.15
 IV-1-48,30Ni,0.33,0.21,0.62,0,0.89,0.05,0,0,0,0,0,0,0,0,0,0,0,365,638.15
 IV-1-49,40Ni,0.39,0.2,0.86,0.13,1.12,0.05,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-50,40Ni,0.43,0.21,0.95,0.15,0.93,0,0,0,0,0,0,0,0,0,0,0,0,315,588.15
 IV-1-51,50Ni,0.48,0,0.59,0,1.08,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-52,60Ni,0.61,0,0.27,0,0.99,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-53,10Ni12,0.08,0.16,0.29,0,2.06,0.02,0,0,0,0,0,0,0,0,0,0,0,425,698.15
 IV-1-54,60Ni12,0.56,0,0.26,0,1.97,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-55,12Ni3,0.11,0.21,0.36,0.28,2.89,0.09,0,0,0,0,0,0,0,0,0,0,0,425,698.15
 IV-1-56,12Ni3,0.11,0.21,0.36,0.28,2.89,0.09,0,0,0,0,0,0,0,0,0,0,0,440,713.15
 IV-1-57,12Ni3,0.95,0.25,0.4,0.36,2.95,0.08,0,0,0,0,0,0,0,0,0,0,0,120,393.15
 IV-1-58,12Ni3,0.95,0.25,0.4,0.36,2.95,0.08,0,0,0,0,0,0,0,0,0,0,0,120,393.15
 IV-1-59,25Ni3,0.3,0.32,0.51,0.07,3.03,0,0,0,0,0,0,0.03,0,0,0,0,0,340,613.15
 IV-1-60,30Ni3,0.33,0.23,0.74,0.07,3.47,0,0,0,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-61,40Ni3,0.37,0,0.68,0,3.41,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-62,40Ni3,0.37,0,0,0,3.4,0,0,0,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-63,40Ni3,0.4,0.31,0.89,0.11,3.34,0,0,0,0,0,0,0,0,0,0,0,0,280,553.15
 IV-1-64,60Ni4,0.59,0,0.25,0,3.9,0,0,0,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-65,10Ni6,0.1,0,0.52,0,5,0,0,0,0,0,0,0,0,0,0,0,0,420,693.15
 IV-1-66,10Ni6,0.4,0,0.52,0,5,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-67,13Ni5,0.14,0,0,0,5.24,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-68,40Ni5,0.43,0.24,0.43,0.04,5,0,0,0,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-69,50Ni5,0.5,0,0,0,4.97,0,0,0,0,0,0,0,0,0,0,0,0,240,513.15
 IV-1-71,12Ni9,0.1,0.28,0.77,0,8.59,0,0,0,0,0,0,0,0,0,0,0,0,345,618.15
 IV-1-73,20Mo,0.22,0,0.79,0,0,0.5,0,0,0,0,0,0,0,0,0,0,0,410,683.15
 IV-1-74,30Mo,0.3,0.22,0.64,1.01,0.11,0.24,0,0,0.012,0.011,0.19,0,0,0,0,0,0,375,648.15
 IV-1-75,35Mo,0.36,0.78,0.13,0.18,0.17,1.06,0,0,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-76,37Mo,0.36,0,0.17,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-77,37Mo,0.35,0,0.8,0,0,0.25,0,0,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-78,40Mo,0.39,0,0.57,0,0,0.49,0,0,0,0,0,0,0,0,0,0,0,268,541.15
 IV-1-80,41Mo,0.41,0,0.69,0,0,0.29,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-81,40Mo,0.42,0,0.2,0,0,0.21,0,0,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-82,40Mo,0.42,0,0.55,0,0,0.71,0,0,0,0,0,0,0,0,0,0,0,293,566.15
 IV-1-83,40Mo,0.44,0,0.65,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-84,50Mo,0.54,0.31,0.21,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-85,50Mo,0.54,0.27,0.34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-87,30Mo2,0.33,0,0.41,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,370,643.15
 IV-1-88,45Mo2,0.45,0.19,0.47,0.31,0.32,2.42,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-89,40Mo3,0.41,0.26,0.12,0.14,0.17,3.18,0,0,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-90,45Mo5,0.45,0.134,0.12,0.14,0.15,6.44,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-91,35W,0.34,0.33,0.13,0.14,0.16,0,0.88,0,0,0,0,0,0,0,0,0,0,375,648.15
 IV-1-92,50W,0.49,0,0,0,0,0,0.45,0,0,0,0,0,0,0,0,0,0,354.5,627.65
 IV-1-93,45W3,0.45,0.37,0.16,0.14,0.16,0,2.77,0,0,0,0,0,0,0,0,0,0,335,608.15
 IV-1-94,45W5,0.45,0.34,0.16,0.18,0.16,0,4.41,0,0,0,0,0,0,0,0,0,0,350.6,623.75
 IV-1-95,30Ti,0.29,0.1,0.6,0.16,0,0,0,0,0,0,0,0,0.07,0,0,0,0,320,593.15
 IV-1-96,50V,0.52,0,0,0,0,0,0,0.24,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-97,50Al,0.5,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0,0,360,633.15
 IV-1-98,35Cu,0.36,0.22,0.58,0.08,0.25,0,0,0,0,0,0.5,0,0,0,0,0,0,360,633.15
 IV-1-99,50Cu,0.48,0,0.57,0,0,0,0,0,0,0,0.46,0,0,0,0,0,0,340,613.15
 IV-1-100,50Cu,0.53,0.35,0.7,0.09,0.24,0.1,0,0.03,0,0,0.52,0,0,0,0,0,0,310,583.15
 IV-1-101,50Cu1,0.49,0.2,0.57,0.02,0.06,0,0,0,0,0,0.07,0,0,0,0,0,0,330,603.15
 IV-1-102,50Cu1,0.49,0.2,0.54,0.02,0.06,0,0,0,0,0,1.49,0,0,0,0,0,0,310,583.15
 IV-1-103,50Cu2,0.49,0,0.54,0,0,0,0,0,0,0,1.49,0,0,0,0,0,0,320,593.15
 IV-1-104,27SiMn,0.25,1.3,1.33,0,0.12,0,0,0,0,0,0,0,0,0,0,0,0,355,628.15
 IV-1-105,35SiMn,0.38,1.05,1.14,0.23,0,0,0,0.02,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-106,35SiMn,0.38,1.06,1.14,0.23,0,0,0,0.02,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-107,35SiMn,0.37,1.11,1.45,0.3,0.12,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-108,08SiMn2,0.07,0.8,1.45,0.16,0.12,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-109,08SiMn2,0.09,0.88,2,0.17,0.24,0,0,0,0,0,0,0,0,0,0,0,0,365,638.15
 IV-1-110,45SiMn2,0.45,1.34,1.5,0.02,0.03,0.1,0,0.04,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-111,20MnMo,0.24,0.47,0.94,0.34,0.3,0.14,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-112,30MoMO,0.33,0.18,1.48,0.16,0.26,0.27,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-113,38MnMo,0.38,0.25,1.49,0.2,0.41,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-114,45MnMo,0.43,0.23,0.9,0.27,0.23,0.26,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-115,50MnMo,0.52,0.3,1.18,0.13,0.16,0.3,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-116,30Mn2Mo,0.3,0.49,1.63,0.44,0,0.33,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-117,35Mn2Mo,0.33,0.18,1.48,0.16,0.26,0.27,0,0,0,0,0.14,0,0,0,0,0,0,340,613.15
 IV-1-118,35Mn2V,0.35,0.28,1.65,0.27,0.2,0,0,0.15,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-119,40Mn2V,0.43,0.28,1.67,0.32,0.11,0.33,0,0.1,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-120,38CrSi,0.36,1.19,0.45,1.65,0,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-121,38CrSi,0.42,1.01,0.38,1.5,0.25,0,0,0,0,0,0,0,0,0,0,0,0,315,588.15
 IV-1-122,40CrSi,0.4,1.52,0.42,1.24,0,0,0,0.12,0,0,0,0,0,0,0,0,0,325,598.15
 IV-1-123,20CrMn,0.16,0.22,1.12,0.99,0.12,0,0,0,0,0,0,0.01,0,0,0,0,0,400,673.15
 IV-1-124,20CrMn,0.16,0.22,1.12,0.99,0.12,0.02,0,0,0,0,0,0.01,0,0,0,0,0,400,673.15
 IV-1-125,20CrMn,0.23,0.37,1.13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-126,20CrMn,0.95,0.37,1.13,1.17,0,0,0,0,0,0,0,0,0,0,0,0,0,130,403.15
 IV-1-127,40CrMn,0.41,0.27,0.9,1.04,0.04,0,0,0,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-128,50CrMn,0.48,0.25,0.86,0.98,0.18,0.04,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-129,35CrMn2,0.39,0.56,1.44,0.63,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-130,50CrMn2,0.48,0.59,1.3,0.54,0.06,0.01,0,0,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-131,20CrMo,0.18,0.21,0.62,0.81,0,0.27,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-132,20CrMo,1.08,0.21,0.62,0.81,0,0.27,0,0,0,0,0,0,0,0,0,0,0,100,373.15
 IV-1-133,20CrMo,0.17,0.23,0.8,1.06,0.21,0.24,0,0,0,0,0.18,0,0,0,0,0,0,385,658.15
 IV-1-134,20CrMo,0.22,0.24,0.61,1,0.14,0.18,0,0,0,0,0,0,0,0,0,0,0,385,658.15
 IV-1-135,20CrMo,0.22,0.25,0.64,0.97,0.33,0.23,0,0,0,0,0.16,0,0,0,0,0,0,400,673.15
 IV-1-136,20CrMo,0.22,0.25,0.64,0.97,0.33,0.23,0,0,0,0,0.16,0,0,0,0,0,0,400,673.15
 IV-1-137,25CrMo,0.25,0.22,0.62,1.06,0.12,0.24,0.06,0.03,0,0,0.1,0,0,0,0,0,0,365,638.15
 IV-1-138,25CrMo,0.25,0.21,0.68,1.1,0.19,0.22,0,0,0,0,0.16,0,0,0,0,0,0,365,638.15
 IV-1-139,28CrMo,0.27,0.13,0.6,0.74,0.19,0.55,0,0,0,0,0,0,0,0,0,0,0,390,663.15
 IV-1-142,35CrMo,0.35,0,0,1.15,0,0.25,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-143,35CrMo,0.37,0.3,0.79,1,0.17,0.18,0,0,0,0,0.1,0,0,0,0,0,0,325,598.15
 IV-1-144,35CrMo,0.37,0.15,0.77,0.98,0.04,0.21,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-145,35CrMo,0.38,0.23,0.64,0.9,0.08,0.16,0,0,0,0,0.17,0,0,0,0,0,0,370,643.15
 IV-1-146,35CrMo,0.38,0.23,0.64,0.9,0.08,0.16,0,0,0,0,0.17,0,0,0,0,0,0,370,643.15
 IV-1-147,38CrMo,0.41,0.28,0.58,1.39,1.15,0.74,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-148,40CrMo,0.41,0.28,0.58,1.39,0.45,0.54,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-149,45CrMo,0.41,0.23,0.67,1.01,0.2,0.23,0,0,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-150,45CrMo,0.44,0.22,0.6,1.19,0,0.37,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-151,50CrMo,0.5,0.32,0.8,1.04,0.11,0.24,0,0.01,0,0,0.17,0,0,0,0,0,0,290,563.15
 IV-1-152,50CrMo,0.5,0.32,0.8,1.04,0.11,0.24,0,0.01,0,0,0.17,0,0,0,0,0,0,290,563.15
 IV-1-153,50CrMo,0.52,0.4,0.6,1,0.17,0.22,0,0.05,0,0,0.38,0,0,0,0,0,0,290,563.15
 IV-1-154,50CrMo,0.55,0,0.6,1.03,0.36,0.19,0,0,0,0,0,0,0,0,0,0,0,275,548.15
 IV-1-155,50CrMo,0.55,0,0.6,1.03,0.36,0.19,0,0,0,0,0,0,0,0,0,0,0,275,548.15
 IV-1-156,12Cr2Mo,0.15,0.44,0.36,2.24,0.09,0.85,0,0,0,0,0.23,0,0,0,0,0,0,380,653.15
 IV-1-157,25Cr3Mo,0.26,0.21,0.55,3.34,0,0.54,0,0,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-158,30Cr3Mo,0.28,0.21,0.33,3.34,0.25,0.54,0,0,0,0,0,0,0,0,0,0,0,360,633.15
 IV-1-159,15CrV,0.15,0.48,0.67,1.2,0.25,0,0,0.31,0,0,0.18,0,0,0,0,0,0,435,708.15
 IV-1-160,30CrV,0.32,0.21,0.4,1.3,0.11,0.1,0,0.125,0,0,0.12,0,0,0,0,0,0,355,628.15
 IV-1-161,40CrV,0.38,0.21,0.41,1.29,0.03,0.1,0,0.125,0,0,0.05,0,0,0,0,0,0,340,613.15
 IV-1-162,40CrV,0.43,0.23,0.74,0.92,0,0,0,0.15,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-163,45CrV,0.45,0,0.74,0.92,0,0,0,0.18,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-164,45CrV,0.43,0.41,0.82,1.22,0.04,0,0,0.11,0,0,0.14,0,0,0,0,0,0,315,588.15
 IV-1-165,50CrV,0.47,0.35,0.82,1.2,0.04,0,0,0.11,0,0,0.14,0,0,0,0,0,0,300,573.15
 IV-1-166,50CrV,0.47,0.35,0.82,1.2,0.04,0,0,0.11,0,0,0.14,0,0,0,0,0,0,300,573.15
 IV-1-167,50CrV,0.51,0.27,0.72,0.94,0.15,0.05,0,0.2,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-168,50CrV,0.53,0,0.67,0.93,0,0,0,0.18,0,0,0,0,0,0,0,0,0,290,563.15
 IV-1-169,35Cr2V,0.36,0.31,0.5,2.2,2.24,0,0,0.28,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-170,45Cr2V,0.44,0.26,0.75,1.7,0,0,0,0.09,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-171,30CrAl,0.3,0.28,0.77,1.5,0.22,0,0,0,0,0,0,0.08,0,0,0,0,0,360,633.15
 IV-1-172,20CrNi,0.2,0.15,0.71,0.8,1.13,0.05,0,0,0,0,0,0,0,0,0,0,0,410,683.15
 IV-1-173,20CrNi,0.2,0.15,0.71,0.8,1.13,0.05,0,0,0,0,0,0,0,0,0,0,0,410,683.15
 IV-1-174,20CrNi,0.96,0.26,0.74,0.81,1.19,0.09,0,0,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-175,20CrNi,0.96,0.26,0.74,0.81,1.19,0.09,0,0,0,0,0,0,0,0,0,0,0,120,393.15
 IV-1-176,40CrNi,0.38,0.21,0.72,0.5,1.3,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-177,40CrNi,0.41,0.24,0.55,0.8,0.93,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-178,40CrNi,0.44,0.31,0.8,0.98,0.48,0,0,0,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-179,50CrNi,0.5,0.4,0.7,0.52,0.48,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-180,12CrNi2,0.11,0.3,0.5,0.64,1.59,0,0,0,0,0,0,0,0,0,0,0,0,405,678.15
 IV-1-181,12CrNi2,0.15,0.3,0.55,0.82,1.3,0,0,0,0,0,0,0,0,0,0,0,0,395,668.15
 IV-1-182,20CrNi2,0.19,0.3,0.55,0.81,1.52,0,0,0,0,0,0,0,0,0,0,0,0,375,648.15
 IV-1-183,12CrNi3,0.11,0.13,0.87,0.87,3.26,0,0,0,0,0,0,0,0,0,0,0,0,420,693.15
 IV-1-184,12CrNi3,0.11,0.13,0.38,0.87,3.26,0,0,0,0,0,0,0,0,0,0,0,0,420,693.15
 IV-1-185,12CrNi3,1,0.12,0.3,0.9,3.27,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-186,12CrNi3,1,0.12,0.3,0.9,3.27,0,0,0,0,0,0,0,0,0,0,0,0,100,373.15
 IV-1-187,12CrNi3,0.14,0.28,0.36,0.68,3.18,0,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-188,12CrNi3,0.8,0.28,0.36,0.68,3.18,0,0,0,0,0,0,0,0,0,0,0,0,170,443.15
 IV-1-189,12CrNi3,0.13,0.33,0.35,0.86,3.42,0,0,0,0,0,0,0,0,0,0,0,0,380,653.15
 IV-1-190,12CrNi3,0.41,0.13,0.38,0.87,3.26,0.08,0,0,0,0,0,0,0,0,0,0,0,300,573.15
 IV-1-191,12CrNi3,0.7,0.16,0.35,0.76,3.24,0.06,0,0,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-192,12CrNi3,0.7,0.16,0.35,0.96,3.24,0.06,0,0,0,0,0,0,0,0,0,0,0,195,468.15
 IV-1-193,20CrNi3,0.17,0,0,0.9,3.38,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
 IV-1-196,30CrNi3,0.82,0.2,0.3,0.69,2.95,0,0,0,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-197,30CrNi3,0.33,0.32,0.51,0.83,3.38,0,0,0,0,0,0,0,0,0,0,0,0,305,578.15
 IV-1-198,37CrNi3,0.35,0,0,1.5,3.5,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-199,37CrNi3,0.35,0.19,0.37,1.32,3.6,0,0,0,0,0,0,0,0,0,0,0,0,280,553.15
 IV-1-200,37CrNi3,0.39,0,0,1.49,2,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
 IV-1-201,37CrNi3,0.4,0.26,0.43,1.1,3.5,0,0,0,0,0,0,0,0,0,0,0,0,265,538.15
 IV-1-202,15CrNi4,0.54,0.26,0.34,1.28,3.92,0.07,0,0,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-203,15CrNi4,0.84,0.26,0.34,1.28,3.92,0.07,0,0,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-204,12Cr2Ni2,0.13,0.31,0.51,1.5,1.55,0,0,0,0,0,0,0,0,0,0,0,0,440,713.15
 IV-1-205,12Cr2Ni2,0.13,0.31,0.51,1.5,1.55,0,0,0,0,0,0,0,0,0,0,0,0,440,713.15
 IV-1-206,15Cr2Ni2,0.16,0.31,0.5,1.95,2.02,0,0,0,0,0,0,0,0,0,0,0,0,450,723.15
 IV-1-207,15Cr2Ni2,0.15,0.31,0.5,1.95,2.02,0,0,0,0,0,0,0,0,0,0,0,0,450,723.15
 IV-1-208,20Cr2Ni2,0.21,0.33,0.5,1.99,2.08,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-209,20Cr2Ni2,0.9,0.33,0.5,1.99,2.08,0,0,0,0,0,0,0,0,0,0,0,0,110,383.15
 IV-1-210,12Cr2Ni3,0.11,0,0.45,1.52,3.33,0,0,0,0,0,0,0,0,0,0,0,0,425,698.15
 IV-1-211,12Cr2Ni3,0.4,0,0.45,1.52,3.33,0,0,0,0,0,0,0,0,0,0,0,0,387,660.15
 IV-1-212,12Cr2Ni3,0.6,0,0.45,1.52,3.33,0,0,0,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-213,12Cr2Ni3,1,0,0.45,1.52,3.33,0,0,0,0,0,0,0,0,0,0,0,0,80,353.15
 IV-1-214,12Cr2Ni4,0.1,0.2,0.34,1.66,3.51,0,0,0,0,0,0,0,0,0,0,0,0,420,693.15
 IV-1-215,12Cr2Ni4,0.15,0.2,0.45,1.54,4.03,0,0,0,0,0,0,0,0,0,0,0,0,390,663.15
 IV-1-216,12Cr2Ni4,0.89,0.19,0.39,1.58,4,0,0,0,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-217,12Cr2Ni4,0.89,0.19,0.39,1.58,4,0,0,0,0,0,0,0,0,0,0,0,0,93,366.15
 IV-1-218,12Cr2Ni4,0.11,0.09,0.38,1.33,4.15,0,0,0,0,0,0,0,0,0,0,0,0,400,673.15
 IV-1-219,12Cr2Ni4,0.11,0.09,0.38,1.33,4.15,0,0,0,0,0,0,0,0,0,0,0,0,400,673.15
 IV-1-220,12Cr2Ni4,1.02,0.27,0.47,1.22,4.15,0,0,0,0,0,0,0,0,0,0,0,0,125,398.15
 IV-1-221,12Cr2Ni4,1.02,0.27,0.47,1.22,4.15,0,0,0,0,0,0,0,0,0,0,0,0,125,398.15
 IV-1-222,20Cr2Ni4,0.18,0,0,1.68,3.73,0,0,0,0,0,0,0,0,0,0,0,0,330,603.15
 IV-1-224,20Cr2Ni4,0.78,0.37,0.5,1.6,3.4,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-225,20Cr2Ni4,1,0.32,0.54,1.56,3.47,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
 IV-1-230,35Cr2Ni4,0.36,0.32,0.53,1.88,3.74,0,0,0,0,0,0,0,0,0,0,0,0,265,538.15
