图号,钢号,C,Si,Mn,Cr,Ni,Mo,W,V,S,P,Cu,Al,Ti,B,Co,Nb,N,Ms/°C,Ms (K)
 IV-1-486,5CrW2Si,0.52,0.8,0.33,1.17,0.16,0,2.25,0,0,0,0,0,0,0,0,0,0,295,568.15
 IV-1-487,5CrW2Si,0.48,0.67,0.27,1.2,0.14,0.015,2.34,0.13,0,0,0.21,0,0,0,0,0,0,290,563.15
 IV-1-488,5CrW2Si,0.55,0.94,0.34,1.27,0.12,0.05,2.1,0.18,0,0,0,0,0,0,0,0,0,275,548.15
 IV-1-489,6CrW2Si,0.58,0.55,0.32,1.27,0.23,0,2.25,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-490,50CrMnMo,0.59,0.41,1.42,0.85,0.1,0.15,0,0,0,0,0,0,0,0,0,0,0,225,498.15
 IV-1-491,4CrMoV,0.38,0.18,0.81,1.54,0.01,0.63,0,0.27,0,0,0,0,0,0,0,0,0,350,623.15
 IV-1-492,4CrMoV,0.43,0.27,0.75,1.31,0.11,0.72,0,0.23,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-493,4CrMoV,0.43,0.27,0.75,1.31,0.11,0.72,0,0.23,0,0,0,0,0,0,0,0,0,320,593.15
 IV-1-494,4CrMoV,0.4,0.33,0.72,1.47,0,0.55,0,0.34,0,0,0,0,0,0,0,0,0,310,583.15
 IV-1-495,4Cr5MoV,0.38,0.94,0.48,5.53,0,0.87,0,0.48,0,0,0,0,0,0,0,0,0,275,548.15
 IV-1-497,5CrNiMo,0.54,0.28,0.64,0.77,1.75,0.34,0,0.06,0,0,0,0,0,0,0,0,0,240,513.15
 IV-1-498,5CrNiMo,0.55,0.34,0.66,1.03,1.71,0.52,0,0.06,0,0,0,0,0,0,0,0,0,240,513.15
 IV-1-499,5CrNiMo,0.55,0.3,0.77,0.87,1.18,0.23,0,0,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-500,6CrNiMo,0.62,0.67,0.64,0.6,1.79,0.32,0,0,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-501,6CrNiMo,0.64,0.28,0.93,1.01,1.64,0.24,0,0,0,0,0,0,0,0,0,0,0,230,503.15
 IV-1-502,6CrNi2Mo,0.62,0.67,0.64,0.6,1.7,0.32,0,0,0,0,0,0,0,0,0,0,0,220,493.15
 IV-1-504,5CrNi3Mo,0.53,0.27,0.3,1.04,3.3,0.16,0,0,0,0,0,0,0,0,0,0,0,240,513.15
 IV-1-506,4CrNi4Mo,0.4,0.2,0.36,1.27,4.03,0.24,0,0,0,0,0,0,0,0,0,0,0,270,543.15
 IV-1-507,4CrNi4Mo,0.4,0.2,0.35,1.27,4.03,0.24,0,0,0,0,0,0,0,0,0,0,0,265,538.15
 IV-1-508,6Cr2Ni3Mo,0.6,0.24,0.37,2.14,3.22,0.07,0,0,0,0,0,0,0,0,0,0,0,190,463.15
 IV-1-509,5CrNiW,0.59,0.38,0.45,1.28,1.1,0,0.5,0,0,0,0,0,0,0,0,0,0,205,478.15
 IV-1-510,5CrNiW,0.56,0.23,0.59,0.6,1.6,0,0.78,0,0,0,0,0,0,0,0,0,0,260,533.15
 IV-1-511,4Cr2Ni4W,0.46,0.24,0.5,1.53,3.96,0,0.59,0,0,0,0,0,0,0,0,0,0,235,508.15
