页数,图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Re,Ms/°C,Ms (K)
514,工模具钢,SiMnWVNb,0.92,0.61,1.15,0.02,0.02,0,0,0,0,0,0.89,0.34,0,0,0,0,0,0,0.09,0,130,403.15
515,工模具钢,4CrWSiMoV,0.39,0.58,0,0,0,0,1.43,0,0,0,0.85,0.84,0,0,0,0.5,0,0,0,0,330,603.15
516,工模具钢,5CrWSiMoV,0.47,0.73,0,0,0,0,1.2,0,0,0,0.45,1,0,0,0,0.39,0,0,0,0,360,633.15
518,工模具钢,CrMn2SiWMoV,1,0.55,2.25,0,0,0,1.15,0,0,0,0.9,0.3,0,0,0,0.95,0,0,0,0,120,393.15
519,工模具钢,SiCr4W6V5Mo5Nb,1.56,1.22,0.28,0,0,0.4,4.29,0,0,0,6.21,4.98,0,0,0,5.59,0,0,0.31,0,160,433.15
523,不锈耐酸钢,Cr17,0.09,0.33,0.4,0,0,0,17.2,0,0.03,0.34,0,0,0,0,0,0,0,0,0,0,160,433.15
524,不锈耐酸钢,Cr20,0.17,0.56,0.46,0,0,0,20.96,0,0.12,0.35,0,0,0,0,0,0,0,0,0,0,150,423.15
526,不锈耐酸钢,0Cr13,0.06,0.3,0.21,0,0,0,12.3,0,0,0.09,0,0,0,0,0,0,0,0,0,0,365,638.15
527,不锈耐酸钢,1Cr13,0.1,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
528,不锈耐酸钢,2Cr13,0.2,0,0,0,0,0,12.5,0,0,0.5,0,0,0,0,0,0,0,0,0,0,-80,193.15
529,不锈耐酸钢,3Cr13,0.25,0.37,0.29,0,0,0,13.4,0,0,0.13,0,0,0,0,0,0,0,0,0,0,240,513.15
530,不锈耐酸钢,4Cr13,0.44,0.3,0.2,0,0,0,13.12,0,0,0.31,0,0,0,0,0,0,0,0,0,0,270,543.15
