图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
349,12Cr2Ni4Mo,0.15,0.2,0,0,0,0,1.16,0,0,4.33,0,0,0,0,0,0.17,0,0,0,365,638.15
351,18CrNiMo,0.17,0,0,0,0,0,1.44,0,0,4.4,0,0,0,0,0,0.5,0,0,0,370,643.15
352,20CrNiMo,0.17,0.28,0,0,0,0,0.49,0,0,1.13,0,0,0,0,0,0.13,0,0,0,0,273.15
354,20CrNiMo,0.18,0.31,0,0,0,0,0.56,0,0,0.52,0,0,0,0,0,0.19,0,0,0,410,683.15
355,20CrNiMo,0.23,0.29,0.95,0,0,0,0.55,0,0,0.53,0,0,0,0,0,0.18,0,0,0,360,633.15
356,20CrNi2Mo,0.21,0.23,0.55,0,0,0,0.47,0,0,1.81,0,0,0,0,0,0.26,0,0,0,360,633.15
357,20CrNi3Mo,0.2,0.29,0.89,0,0,0,1.51,0,0,2.85,0,0,0,0,0,0.46,0,0,0,400,673.15
358,30CrNiMo,0.33,0.24,0,0,0,0,0.54,0,0,1.22,0,0,0,0,0,0.17,0,0,0,340,613.15
359,30CrNi2Mo,0.3,0.24,0.46,0.03,0.025,0,1.44,0.2,0,2.06,0,0,0,0,0,0.37,0,0,0,350,623.15
361,30CrNi3Mo,0.3,0.3,0,0,0,0,0.86,0,0,3.2,0,0,0,0,0,0.4,0,0,0,320,593.15
362,30CrNi3Mo,0.32,0.28,0,0,0,0,0.63,0,0,3.22,0,0,0,0,0,0.22,0,0,0,310,583.15
363,30CrNi3Mo,0.33,0.21,0,0,0,0,0.76,0,0,2.92,0,0,0,0,0,0.18,0,0,0,310,583.15
364,34CrNi3Mo,0.36,0.27,0,0,0,0,0.91,0,0,2.8,0,0,0,0,0,0.24,0,0,0,290,563.15
367,35CrNiMo,0.34,0.22,0,0,0,0,0.92,0,0,1.82,0,0,0,0,0,0.25,0,0,0,340,613.15
368,40CrNiMo,0.36,0.33,0,0,0,0,0.95,0,0,1.82,0,0,0,0,0,0.24,0,0,0,320,593.15
369,40CrNiMo,0.38,0.2,0,0,0,0,0.95,0,0,1.58,0,0,0,0,0,0.26,0,0,0,320,593.15
370,40CrNiMoA,0.38,0.345,0.365,0.0163,0.008,0,1.71,0,0,1.31,0,0,0,0,0,0.232,0,0,0,332,605.15
371,40CrNiMo,0.38,0.26,0,0,0,0,0.98,0,0,1.63,0,0,0,0,0,0.22,0,0,0,320,593.15
372,40CrNiMo,0.39,0.23,0,0,0,0,1.11,0,0,1.44,0,0,0,0,0,0.18,0,0,0,320,593.15
373,40CrNiMo,0.4,0.3,0.7,0,0,0,0.48,0,0,0.53,0,0,0,0,0,0.2,0,0,0,350,623.15
374,40CrNiMo,0.42,0.24,0.78,0.018,0.027,0,0.8,0,0,1.79,0,0,0,0,0,0.33,0,0,0,290,563.15
375,40CrNiMo,0.42,0.24,0.77,0,0,0,0.81,0,0,1.76,0,0,0,0,0,0.21,0,0,0,325,598.15
376,40CrNi4Mo,0.4,0.2,0.35,0.01,0.015,0,1.27,0.16,0,4.03,0,0.04,0,0,0,0.24,0,0,0,270,543.15
378,45CrNiMo,0.44,0,0.9,0,0,0,0.54,0,0,0.45,0,0,0,0,0,0.22,0,0,0,297,570.15
379,35CrNiMo1V,0.35,0.34,0.68,0.014,0.002,0,1.03,0,0,1.15,0,0,0,0,0,1.07,0,0,0,295,568.15
380,30CrNi2MoV,0.3,0.28,0.37,0.022,0.006,0,0.69,0,0,2.16,0,0.21,0,0,0,0.23,0,0,0,340,613.15
381,35CrNi3MoV,0.32,0,0,0,0,0,1.37,0,0,3.02,0,0.18,0,0,0,0.48,0,0,0,320,593.15
382,35CrW,0.34,0.32,0,0,0,0,0.99,0,0,0.28,0.68,0,0,0,0,0,0,0,0,370,643.15
383,18Cr2Ni4W,0.16,0.19,1,1,1,1,1.51,0,0,4.3,0.86,0,0,0,0,0,0,0,0,310,583.15
385,50CrMn,0.48,0.25,0.86,0,0,0,0.98,0,0,0.18,0,0,0,0,0,0,0,0,0,300,573.15
386,55CrMn,0.53,0.22,1.12,0.03,0.008,0.015,0.99,0.22,0,0.12,0,0,0,0,0,0.02,0,0,0,280,553.15
388,50CrMnV,0.47,0.38,1.04,0,0,0,1.2,0,0,0,0,0.18,0,0,0,0,0,0,0,290,563.15
392,50CrMnV,0.48,0.35,1,0,0,0,0.9,0,0,0.05,0,0.11,0,0,0,0,0,0,0,285,558.15
393,50CrMnV,0.49,0.23,0.9,0,0,0,1.03,0,0,0.06,0,0.12,0,0,0,0,0,0,0,290,563.15
394,50CrMnV,0.5,0.26,0.91,0,0,0,1.07,0,0,0.06,0,0.12,0,0,0,0,0,0,0,295,568.15
395,50CrMnV,0.55,0.22,0.98,0,0,0,1.02,0,0,0,0,0.11,0,0,0,0,0,0,0,270,543.15
399,55Si,0.54,1.27,0.23,0.01,0.005,0,0.05,0,0,0.02,0,0,0,0,0,0,0,0,0,325,598.15
400,55Si2Mn,0.55,1.85,0.64,0,0,0,0.17,0,0,0,0,0,0,0,0,0,0,0,0,305,578.15
401,55Si2Mn,0.55,1.74,0.87,0,0,0,0.1,0,0,0.16,0,0,0,0,0,0,0,0,0,260,533.15
402,55Si2Mn,0.55,1.68,0.61,0,0,0,0.05,0,0,0.19,0,0,0,0,0,0,0,0,0,285,558.15
403,55Si2Mn,0.57,1.73,0.67,0,0,0,0.13,0,0,0,0,0,0,0,0,0,0,0,0,300,573.15
404,55Si2MnB,0.56,1.87,0.8,0,0,0,0,0,0,0,0,0,0,0.0044,0,0,0,0,0,289,562.15
405,55SiMnCuR,0.55,0.95,1.065,0,0,0,0,0.3,0,0,0,0,0,0,0,0,0,0,0,245,518.15
406,55SiMnMoV,0.55,1.01,1.04,0.017,0.013,0,0.1,0.11,0,0.04,0,0.18,0,0,0,0.3,0,0,0,290,563.15
407,60SiMn,0.57,1.08,0.81,0,0,0,0.09,0,0,0.18,0,0,0,0,0,0,0,0,0,258,531.15
408,60Si2Mn,0.62,2.01,0.82,0,0,0,0.07,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
409,60Si2Mn,0.62,2.01,0.95,0,0,0,0.15,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
410,60Si2Mn,0.62,2.13,0.86,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
411,60Si2Mo,0.6,1.9,0.75,0,0,0,0.25,0,0,0,0,0,0,0,0,0.3,0,0,0,260,533.15
412,60CrMnSiV,0.58,0.89,0.81,0,0,0,1.27,0,0,0,0,0.11,0,0,0,0,0,0,0,270,543.15
416,60CrMnSiV,0.64,0.69,0.78,0,0,0,1.18,0,0,0,0,0.12,0,0,0,0,0,0,0,240,513.15
417,65Mn,0.64,0,1.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
418,65Mn,0.65,0,1.32,0.022,0.041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
419,70Si3Mn,0.68,2.67,0.67,0,0,0,0.18,0,0,0,0,0,0,0,0,0,0,0,0,290,563.15
420,70Si3Mn,0.68,2.73,0.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,270,543.15
421,GCr6,1.05,0.19,0.32,0,0,0,0.54,0,0,0,0,0,0,0,0,0,0,0,0,192,465.15
422,GCr9,1.01,0.3,0.5,0,0,0,1.21,0,0,0,0,0,0,0,0,0,0,0,0,205,478.15
423,GCr15,1,0.27,0.3,0,0,0,1.71,0,0,0.21,0,0,0,0,0,0.04,0,0,0,230,503.15
425,GCr15,1.02,0.33,0.36,0,0,0,1.41,0,0,0.2,0,0,0,0,0,0,0,0,0,240,513.15
427,GCr15,1.03,0.28,0.25,0.016,0.007,0,1.47,0.05,0,0.04,0,0,0,0,0,0.02,0,0,0,202,475.15
428,GCr15,1.04,0.26,0.33,0,0,0,1.53,0,0,0.31,0,0,0,0,0,0,0,0,0,245,518.15
432,GCr15,1.06,0.32,0.33,0,0,0,1.44,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
433,GCr15,1.08,0.25,0.53,0,0,0,1.46,0,0,0.33,0,0,0,0,0,0.06,0,0,0,200,473.15
434,GCr15R,1.02,0.25,0.28,0.012,0.004,0,1.47,0.06,0,0.03,0,0,0,0,0,0,0,0,0,244,517.15
435,GCr15SiMn,0.93,0.55,1.1,0,0,0,1.35,0,0,0,0,0,0,0,0,0,0,0,0,205,478.15
436,GCr15SiMn,0.99,0.55,1,0,0,0,1.45,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
437,GCr9SiMn,1,0.55,1.025,0.02,0.02,0,1.05,0,0,0,0,0,0,0,0,0,0,0,0,175,448.15
438,GSiMn,0.99,0.75,1.37,0.012,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,438.15
439,GSiMnR,1,0.75,1.36,0.018,0.006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165,438.15
440,GSiMnV,1.01,0.56,1.21,0.01,0.005,0,0,0.07,0,0,0,0.19,0,0,0,0,0,0,0,175,448.15
441,GSiMnVR,1.01,0.68,1.2,0.013,0.004,0,0,0.07,0,0,0,0.19,0,0,0,0,0,0,0,175,448.15
442,GSiMnV,1.025,0.675,1.2,0.02,0.02,0,0.2,0.2,0,0.2,0,0.25,0,0,0,0,0,0,0,190,463.15
444,GMnMoVR,1,0.275,1.25,0,0,0,0,0,0,0,0,0.2,0,0,0,0.5,0,0,0,172.5,445.65
446,2Cr12NiWMoV,0.17,0.31,0.72,0.019,0.003,0,11.88,0,0,1.07,0.89,0.28,0,0,0,0.85,0,0,0,220,493.15
447,2Cr12Ni2WMoV,0.19,0.3,0.85,0.02,0.002,0,12.2,0,0,2.17,0.58,0.21,0,0,0,1.4,0,0,0,205,478.15
448,0Cr13,0.06,0,0,0,0,0,12.8,0,0,0,0,0,0,0,0,0,0,0,0,370,643.15
449,0Cr13,0.08,0.22,0.43,0,0,0,11.28,0,0,0.35,0,0,0,0,0,0.05,0,0,0,380,653.15
450,0Cr13,0.07,0.3,0.21,0,0,0,12.3,0,0,0.09,0,0,0,0,0,0,0,0,0,370,643.15
451,1Cr13,0.1,0,0,0,0,0,12.4,0,0,0,0,0,0,0,0,0,0,0,0,340,613.15
452,1Cr13,0.11,0.37,0.44,0,0,0,12.18,0,0,0.16,0,0,0,0,0,0.02,0,0,0,350,623.15
453,1Cr13,0.11,0.31,0.62,0,0,0,13.24,0,0,0.15,0,0,0,0,0,0.02,0,0,0,335,608.15
454,1Cr13,0.12,0,0,0,0,0,12.3,0,0,0,0,0,0,0,0,0,0,0,0,335,608.15
455,1Cr13,0.11,0.45,0.49,0,0,0,12,0,0,0.13,0,0,0,0,0,0.02,0,0,0,350,623.15
456,1Cr13,0.13,0.52,0.33,0,0,0,12.5,0,0,0.12,0,0,0,0,0,0,0,0,0,300,573.15
458,2Cr13,0.24,0.37,0.27,0,0,0,13.32,0,0,0.32,0,0,0,0,0,0.06,0,0,0,320,593.15
459,3Cr13,0.25,0.37,0.29,0,0,0,13.4,0,0,0.13,0,0,0,0,0,0,0,0,0,240,513.15
