图号,钢号,C,Si,Mn,P,S,Al,Cr,Cu,N,Ni,W,V,Ti,B,Co,Mo,O,Sn,Nb,Ms/°C,Ms (K)
571,9Mn2,0.98,0.08,1.84,0.023,0.011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,130,403.15
573,9Mn2V,0.94,0.25,1.86,0,0,0,0,0,0,0,0,0.16,0,0,0,0,0,0,0,230,503.15
574,9Mn2V,0.98,0.26,1.68,0,0,0,0,0,0,0,0,0.19,0,0,0,0,0,0,0,210,483.15
575,9CrMo,0.88,0.3,0.66,0.018,0.011,0.049,0.56,0.18,0.02,0.15,0,0,0,0.0005,0,0.44,0,0,0,170,443.15
577,9Cr2Mo,0.89,0.49,0.3,0,0,0,1.53,0,0,0,0,0,0,0,0,0.33,0,0,0,190,463.15
578,9SiCr,0.9,1.4,0.45,0,0,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,155,428.15
579,9CrWMn,0.86,0.26,1.18,0,0,0,0.5,0,0,0,0.44,0,0,0,0,0,0,0,0,205,478.15
580,9CrWMn,0.9,0,1.3,0,0,0,0.5,0,0,0,0.5,0,0,0,0,0,0,0,0,200,473.15
581,9CrWMn,0.9,0.3,0.9,0,0,0,0.99,0,0,0,1.4,0,0,0,0,0,0,0,0,210,483.15
582,9CrWMn,0.93,0.23,1.17,0,0,0,0.54,0,0,0,0.77,0.14,0,0,0,0,0,0,0,205,478.15
585,V,0.95,0,0,0,0,0,0,0,0,0,0,0.2,0,0,0,0,0,0,0,200,473.15
586,V,1,0.25,0.2,0,0,0,0,0,0,0,0,0.25,0,0,0,0,0,0,0,200,473.15
587,Cr,0.98,0.35,0.4,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,200,473.15
588,Cr,1.01,0.31,0.27,0.011,0.011,0,1.25,0,0,0,0,0,0,0,0,0,0,0,0,225,498.15
589,Cr2,1,0.3,0.34,0,0,0,1.54,0,0,0,0,0,0,0,0,0,0,0,0,250,523.15
590,Cr4,1.04,0.35,0.18,0.008,0.008,0,4,0,0,0,0,0,0,0,0,0,0,0,0,50,323.15
591,Cr5,1,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,150,423.15
592,Cr12,1.58,0.25,0.31,0,0,0,13.3,0,0,0.14,0,0,0,0,0,0,0,0,0,270,543.15
594,Cr12,1.34,0.41,0.28,0,0,0,12.18,0,0,0.21,0,0,0,0,0,0,0,0,0,175,448.15
595,Cr12,2.02,0.52,0.39,0,0,0,12.39,0,0,0,0,0,0,0,0,0,0,0,0,180,453.15
